Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Grp
1,Ivory Coast,0,0,0,0,0,0,0,0,Group A
2,Nigeria,0,0,0,0,0,0,0,0,Group A
3,Equatorial Guinea,0,0,0,0,0,0,0,0,Group A
4,Guinea-Bissau,0,0,0,0,0,0,0,0,Group A
1,Egypt,0,0,0,0,0,0,0,0,Group B
2,Ghana,0,0,0,0,0,0,0,0,Group B
3,Cape Verde,0,0,0,0,0,0,0,0,Group B
4,Mozambique,0,0,0,0,0,0,0,0,Group B
1,Senegal,0,0,0,0,0,0,0,0,Group C
2,Cameroon,0,0,0,0,0,0,0,0,Group C
3,Guinea,0,0,0,0,0,0,0,0,Group C
4,Gambia,0,0,0,0,0,0,0,0,Group C
1,Algeria,0,0,0,0,0,0,0,0,Group D
2,Burkina Faso,0,0,0,0,0,0,0,0,Group D
3,Mauritania,0,0,0,0,0,0,0,0,Group D
4,Angola,0,0,0,0,0,0,0,0,Group D
1,Tunisia,0,0,0,0,0,0,0,0,Group E
2,Mali,0,0,0,0,0,0,0,0,Group E
3,South Africa,0,0,0,0,0,0,0,0,Group E
4,Namibia,0,0,0,0,0,0,0,0,Group E
1,Morocco,0,0,0,0,0,0,0,0,Group F
2,DR Congo,0,0,0,0,0,0,0,0,Group F
3,Zambia,0,0,0,0,0,0,0,0,Group F
4,Tanzania,0,0,0,0,0,0,0,0,Group F
