home,away,score,year
Sudan , Egypt,1–2,1957
Ethiopia , South Africa,2–0,1957
Egypt , Ethiopia,4–0,1957
United Arab Republic , Ethiopia,4–0,1959
Sudan , Ethiopia,1–0,1959
United Arab Republic , Sudan,2–1,1959
Ethiopia , Tunisia,4–2,1962
United Arab Republic , Uganda,2–1,1962
Tunisia , Uganda,3–0,1962
Ethiopia , United Arab Republic,4–2,1962
Ghana , Tunisia,1–1,1963
Ghana , Ethiopia,2–0,1963
Ethiopia , Tunisia,4–2,1963
United Arab Republic , Nigeria,6–3,1963
United Arab Republic , Sudan,2–2,1963
Sudan , Nigeria,4–0,1963
United Arab Republic , Ethiopia,3–0,1963
Ghana , Sudan,3–0,1963
Tunisia , Ethiopia,4–0,1965
Senegal , Tunisia,0–0,1965
Senegal , Ethiopia,5–1,1965
Ghana , Congo-Léopoldville,5–2,1965
Ivory Coast , Congo-Léopoldville,3–0,1965
Ghana , Ivory Coast,4–1,1965
Senegal , Ivory Coast,0–1,1965
Ghana , Tunisia,3–2,1965
Ethiopia , Uganda,2–1,1968
Ivory Coast , Algeria,3–0,1968
Ethiopia , Ivory Coast,1–0,1968
Algeria , Uganda,4–0,1968
Ivory Coast , Uganda,2–1,1968
Ethiopia , Algeria,3–1,1968
Ghana , Senegal,2–2,1968
Congo-Kinshasa , Congo-Brazzaville,3–0,1968
Senegal , Congo-Brazzaville,2–1,1968
Ghana , Congo-Kinshasa,2–1,1968
Congo-Kinshasa , Senegal,2–1,1968
Ghana , Congo-Brazzaville,3–1,1968
Ethiopia , Congo-Kinshasa,2–3,1968
Ghana , Ivory Coast,4–3,1968
Ivory Coast , Ethiopia,1–0,1968
Congo-Kinshasa , Ghana,1–0,1968
Cameroon , Ivory Coast,3–2,1970
Sudan , Ethiopia,3–0,1970
Cameroon , Ethiopia,3–2,1970
Ivory Coast , Sudan,1–0,1970
Ivory Coast , Ethiopia,6–1,1970
Sudan , Cameroon,2–1,1970
Ghana , Congo-Kinshasa,2–0,1970
United Arab Rep. , Guinea,4–1,1970
Congo-Kinshasa , Guinea,2–2,1970
United Arab Rep. , Ghana,1–1,1970
Guinea , Ghana,1–1,1970
United Arab Rep. , Congo-Kinshasa,1–0,1970
Ivory Coast , Ghana,1–2,1970
United Arab Rep. , Sudan,1–2,1970
United Arab Rep. , Ivory Coast,3–1,1970
Sudan , Ghana,1–0,1970
Cameroon , Kenya,2–1,1972
Mali , Togo,3–3,1972
Mali , Kenya,1–1,1972
Cameroon , Togo,2–0,1972
Togo , Kenya,1–1,1972
Cameroon , Mali,1–1,1972
Congo , Morocco,1–1,1972
Zaire , Sudan,1–1,1972
Morocco , Sudan,1–1,1972
Zaire , Congo,2–0,1972
Morocco , Zaire,1–1,1972
Congo , Sudan,4–2,1972
Cameroon , Congo,0–1,1972
Zaire , Mali,3–4,1972
Cameroon , Zaire,5–2,1972
Congo , Mali,3–2,1972
Egypt , Uganda,2–1,1974
Zambia , Ivory Coast,1–0,1974
Egypt , Zambia,3–1,1974
Ivory Coast , Uganda,2–2,1974
Egypt , Ivory Coast,2–0,1974
Zambia , Uganda,1–0,1974
Zaire , Guinea,2–1,1974
Congo , Mauritius,2–0,1974
Guinea , Mauritius,2–1,1974
Congo , Zaire,2–1,1974
Congo , Guinea,1–1,1974
Zaire , Mauritius,4–1,1974
Egypt , Zaire,2–3,1974
Congo , Zambia,2–4,1974
Congo , Egypt,0–4,1974
Zaire , Zambia,2–2,1974
Zaire , Zambia,2–0,1974
Ethiopia , Uganda,2–0,1976
Egypt , Guinea,1–1,1976
Egypt , Uganda,2–1,1976
Ethiopia , Guinea,1–2,1976
Guinea , Uganda,2–1,1976
Ethiopia , Egypt,1–1,1976
Nigeria , Zaire,4–2,1976
Morocco , Sudan,2–2,1976
Nigeria , Sudan,1–0,1976
Morocco , Zaire,1–0,1976
Morocco , Nigeria,3–1,1976
